t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,long_interest,preplongsideinterest_emazscore,prep_long_interest_7ema,futureopeninterest_diffzscore,perp_cvd_bias_sum,perp_cvd_sum7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2021-02-01,33543.85974350085,0.00039245020487,5252466325.278275,262235.36540846364,8108402.713018022,8370766.64801261,2061331.485428235,,2061331.485428235,,,,,0.0
2021-02-02,35524.119952273206,0.0007421561105729,5605335498.332978,263627.9054756343,14327414.338602211,14478526.43258182,4160033.991899011,,3110682.738663623,,,,,0.0
2021-02-03,37451.367472916325,0.0005546652836465,5891505670.162339,260698.9069494174,9793920.50399078,10174200.942845002,3267813.663645557,,3189248.20115459,,,,,0.0
2021-02-04,36924.74200585988,0.0003676658011088,5871103371.928092,266072.6316833378,9234960.1822862,6752342.70656343,2158603.924632519,,2673926.0628935546,,,,,0.0
2021-02-05,38123.15354014715,0.0005409996707296,6293088427.787264,272076.8465063989,9505087.845134802,8757706.0505026,3404558.767305166,,3039242.41509936,,,,,0.0
2021-02-06,39271.99676818323,0.000916488607471,6918776346.00306,284495.32988471066,11892784.563105129,11276738.47113575,6340979.698751638,,4690111.056925499,,,,,0.0
2021-02-07,38904.21414938871,0.0007331020243235,6869863610.267757,283467.0597253515,11886590.051326957,17641950.01751772,5036310.919513641,,4863210.98821957,,,-2703071.0716948314,,0.0
2021-02-08,45981.86458968448,0.0013793857113616,8056374873.573976,273479.0614601758,31495506.251456343,29320571.791324142,11112848.385980558,,7988029.687100064,,,-265772.6765680425,,0.0
2021-02-09,46506.134809077426,0.001212667928653,8004353473.474083,271534.2553100516,16533791.550256858,17610091.196881663,9706622.746884262,,8847326.216992162,,,-1190960.2292132396,,0.0
2021-02-10,44886.381099679624,0.0009013980336291,7896350294.613056,282662.74936780694,7676991.36905954,19183665.487597167,7117754.628410773,,7982540.422701468,,,-12317353.908896646,,0.0
2021-02-11,47812.53533389692,0.0011122844661688,8606099217.305252,282559.3785868435,17088555.02117624,17931754.356441863,9572430.4737161,,8777485.448208785,,,-15643170.719885036,,0.0
2021-02-12,47482.86135240913,0.0009879646363217,8400160061.639795,280947.6530858935,22490598.12482183,23663125.059314907,8299061.080342029,,8538273.264275407,,,-17563079.449010313,,0.0
2021-02-13,47067.93913526245,0.0006313532674334,8398563300.605908,284048.24506755127,12642292.71992064,12911226.462408572,5302460.381583781,,6920366.822929595,,,-18448059.283467624,,0.0
