t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,Price Momentum,Spot CVD Bias,Spot Volume Momentum
2020-01-01,7199.66110087,7219290.588499926,227849188.2905193,,,
2020-01-02,6985.65902257,-13084959.23247688,500328558.1682622,,,
2020-01-03,7347.59737791,45064023.69896063,990109636.9612652,1.0,,
2020-01-04,7415.20244546,21955883.651991814,428102825.70191246,1.0,,
2020-01-05,7410.81254092,182606.14689466948,709728425.2631902,0.9864495611717541,,
2020-01-06,7770.52843473,88019529.8164543,1490708516.9614594,1.0,,
2020-01-07,8166.96310003,139559984.2018994,2549761930.707382,1.0,,
2020-01-08,8082.95054727,-108133139.40422526,3228022002.6121,0.8870873779304684,-1.0,
2020-01-09,7880.28824913,-13403338.996775923,1599486447.267293,0.6608924831576126,-1.0,
2020-01-10,8164.65571526,61250396.84158714,1782327146.6855247,0.7627521743202716,-0.7201303738319587,
2020-01-11,8029.64210795,19767608.517375864,1171690071.7184331,0.6499656687924318,-0.7579666289634405,
2020-01-12,8185.64036985,23982644.81759773,746208090.4370435,0.6994203002668904,-0.3464533228718355,
2020-01-13,8148.31886082,1155027.1889810534,729993541.1255012,0.6718856852218336,-1.0,
2020-01-14,8827.76442606,136140127.29832628,3073980745.6944413,0.8305325357855944,-1.0,
2020-01-15,8807.01027532,20674329.05209278,1975486787.6301055,0.8178842564274131,0.5319902647848065,
2020-01-16,8723.78576573,9572898.967658533,1228211765.0346663,0.9006368142026515,0.8052614757226229,
2020-01-17,8929.0376776,68455178.39146931,1758421576.4072614,0.8736546975452895,0.8909525876325184,
2020-01-18,8942.80890321,14730246.055373115,914897720.4548016,0.8636512275217805,0.8310399882742152,
2020-01-19,8706.24512993,-53776710.01760728,1822996508.2699733,0.7141658151500132,-0.09380215039323558,
2020-01-20,8657.64293942,2919851.868753929,859377734.5693485,0.5908245089654147,-0.07281195269067864,
2020-01-21,8745.89478833,14638735.892794678,796392097.3663464,0.4855043520292246,-1.0,
2020-01-22,8680.87604222,14275928.43544599,658931969.8248602,0.49800980096065706,-1.0,
2020-01-23,8406.5160678,-42944983.353080206,1128822810.49729,0.45187304354623725,-1.0,
2020-01-24,8445.43428152,10594352.027508851,883908043.5727966,0.34385094314935505,-1.0,
2020-01-25,8367.84777344,14817117.280499972,500530263.2378025,0.38196000745621306,-0.9994710697394142,
2020-01-26,8596.82983316,49337541.9862634,661336349.8371646,0.41627400387024616,-0.3716423715385293,
2020-01-27,8909.81917753,85418595.23530114,1213902829.5338552,0.5640825017906053,0.13066528860028392,
2020-01-28,9358.59031703,83815015.26909256,1710740513.0935147,0.47750922590497047,0.5518568560430805,
2020-01-29,9316.62950445,2027275.3930280565,1278697966.5636685,0.4630316905809244,0.4772788443241296,
2020-01-30,9508.9935947,34831303.06842333,1329904816.5448902,0.5931967910326932,0.9508330204537174,
2020-01-31,9350.52936518,-15099610.93106611,1075024075.2208824,0.4083537900454979,0.7943909476809035,
2020-02-01,9392.87536841,21133321.059574764,623682450.6783662,0.42051800781260806,0.8328482309286078,
2020-02-02,9344.36529292,12929785.138926584,1022632734.8957644,0.5497475578375404,0.6111733979964946,
2020-02-03,9293.52108908,27307596.25610314,1256680594.5024362,0.5480685157616385,0.2573546762266532,
2020-02-04,9180.9629665,-50812659.92347785,1132757204.9233391,0.43026526681117727,-0.562348870231602,
2020-02-05,9613.42428895,121400595.16143042,1528020764.7058823,0.6328935251911745,0.1644759332621062,
2020-02-06,9729.80223149,14061256.765407303,1526412693.5977943,0.8645755802113935,0.038013966282942624,
2020-02-07,9790.33384641,23702468.29990745,1032594850.2584232,0.8692594828896667,0.27426703913804373,
2020-02-08,9866.50724373,36564727.4860468,1028158013.122913,0.9480466335022903,0.3682237873068326,
2020-02-09,10119.1248203,74980933.80946736,1206689090.1466317,0.9522796477111743,0.746032782034669,
2020-02-10,9865.59260896,-64101295.68227115,1524195861.1443892,0.6789695945624521,0.1894741636634607,
2020-02-11,10205.1323621,36890600.976378925,1655840895.0574934,0.6443987291244153,0.7234704158659468,
2020-02-12,10322.7164894,53786097.136786096,1616639030.1964087,0.712781752648987,0.3117880203739516,
2020-02-13,10205.6192109,-30949166.76474075,2192357956.0673766,0.562836997385114,0.037734385098174617,
2020-02-14,10300.0506266,44176540.659727104,1335365368.0396278,0.7159257122798992,0.1623942642781524,
2020-02-15,9891.83650918,-86976819.9518734,1573288864.3428006,0.4223954807343189,-0.5898095038174624,
2020-02-16,9943.25998095,-21031382.206956346,1452606360.6613698,0.46976878800003696,-1.0,
2020-02-17,9686.04920977,-12354958.634115413,1889685397.1273415,0.3570033683784801,-0.7102034137129125,
2020-02-18,10147.0726363,71564589.97536612,1881811428.998338,0.5607442499009605,-0.516017617807951,
2020-02-19,9635.05008713,-109673611.51597084,1851689567.9047115,0.19240303331884046,-1.0,
2020-02-20,9618.25906453,-11432287.00774432,1562335116.495913,0.14042515605365358,-0.9100938488907941,
2020-02-21,9690.95528682,82798529.97577307,1186274138.5706966,0.14535446521290063,-0.7321784007853258,
2020-02-22,9660.91488832,39212080.90490556,717852367.2697562,0.10260674503142098,-0.1508785962063105,
2020-02-23,9920.86796684,76636604.18440513,1193558018.8544056,0.10571050039440433,0.29903721269166694,
2020-02-24,9645.39833042,-15654107.324141448,1702781110.78214,0.09766123434336849,0.28383940626203574,
2020-02-25,9346.53346695,-34326548.69422773,1567064838.3519611,-0.1578237042234174,-0.20395704649530355,
2020-02-26,8824.33122732,-240362137.7544563,2582319621.6283045,-0.34117067459638983,-0.8059847545373457,
2020-02-27,8786.87893969,-45425470.563345045,1946986771.7849524,-0.3252593011975692,-0.9625772188802806,
2020-02-28,8689.11524591,17177904.082955927,1576571383.8588622,-0.3936897762115221,-1.0,
2020-02-29,8615.22772355,27653671.2633345,798238631.6242,-0.32536513289780367,-1.0,
2020-03-01,8563.41168611,-15552677.322127163,1669086719.8809571,-0.36649998449239873,-1.0,
2020-03-02,8865.83955705,45998344.3979943,1622944323.8872223,-0.13823809855285363,-0.7929060836522552,
2020-03-03,8792.35171065,-50762965.94979266,1551292664.0826485,-0.4269811494053166,-0.84811689725496,
2020-03-04,8742.61166128,-40231639.30613127,1078360854.1309018,-0.3044908727153365,-0.175867740139783,
2020-03-05,9077.87946386,39766326.4451452,1639103964.5818238,-0.07372850239230011,0.11029610882935525,
2020-03-06,9120.74845437,2289824.3668761305,1359188526.4718435,-0.09127636143108309,0.060286244676728495,
2020-03-07,8909.75828069,-39605565.55401685,1162406137.866603,-0.15374647467014058,-0.16564116573418064,
2020-03-08,8110.25607808,-321935391.6494009,2217648756.862,-0.4918139626239246,-1.0,
2020-03-09,7916.62214092,-157396341.80606622,2782858901.776717,-0.47835472916630095,-1.0,
2020-03-10,7915.61754792,8044112.78361311,2007776132.644954,-0.4227046992744634,-0.862727310656994,
2020-03-11,7912.81530473,5313336.0751330005,1722318284.650908,-0.2907671797447817,-0.7564121970464344,
2020-03-12,4860.35383012,-580895399.9719924,6724894334.617744,-0.6951702083465624,-1.0,
2020-03-13,5547.0651614,85320954.16357678,7217784665.789213,-0.4489627180441461,-0.8790604881207831,
